
Comand Not Found
> send
******** Send Data ********
JYRO_X	JYRO_Y	ACCE_X	ACCE_Z
42	15	15	122	131
43	15	16	122	146
44	15	16	122	146
45	15	16	122	146
46	14	15	136	161
47	14	15	136	161
48	15	16	150	176
13	15	16	164	176
14	15	16	164	176
15	15	16	177	190
16	15	16	15	17
17	15	16	15	17
18	15	16	15	17
19	15	16	15	17
20	15	16	15	17
21	15	16	15	17
22	15	16	15	17
23	15	16	15	17
24	15	16	15	17
25	15	16	15	17
26	15	16	15	17
27	15	16	15	17
28	15	16	15	17
29	15	16	15	17
30	15	16	15	17
31	16	16	30	17
32	16	16	15	15
33	16	17	15	31
34	16	17	15	31
35	15	16	30	47
36	15	16	30	47
37	16	17	45	63
38	16	17	45	63
39	16	17	45	63
40	16	17	45	63
41	16	16	45	79
42	16	17	45	95
43	17	17	61	95
44	17	18	61	112
45	17	18	61	112
46	17	18	61	112
47	17	17	61	129
48	16	17	77	129
49	16	17	95	149
50	16	17	25	27
51	15	16	40	43
52	15	16	40	43
53	15	16	40	43
54	15	16	40	43
55	15	15	40	58
56	15	15	40	58
57	15	15	40	58
58	15	15	40	58
59	15	15	40	58
60	15	15	40	58
61	14	15	54	58
62	14	14	54	72
63	14	15	54	86
64	14	15	54	86
65	15	15	68	86
66	15	14	68	100
67	15	14	68	100
68	15	14	68	100
69	15	15	68	114
70	14	15	82	114
71	14	15	82	114
72	14	15	82	114
73	13	15	95	114
74	14	15	108	114
12	14	15	121	114
13	14	15	121	114
14	14	15	121	114
15	14	15	121	114
16	14	15	121	114
17	14	15	121	114
18	14	15	121	114
19	15	15	135	114
20	15	15	135	114
21	15	15	135	114
22	15	15	135	114
23	15	14	135	128
24	15	15	135	142
25	14	15	149	142
15	14	15	149	142
16	14	14	149	156
17	14	15	149	170
18	14	15	149	170
19	14	15	149	170
20	14	15	149	170
21	14	15	149	170
22	14	15	149	170
23	14	14	149	184
24	14	15	149	198
25	14	15	149	198
26	14	16	149	213
27	14	16	149	213
28	14	16	149	213
29	14	16	149	213
30	14	16	149	213
31	14	16	149	213
32	14	16	149	213
33	14	16	149	213
34	14	15	149	228
35	14	15	149	228
36	14	15	149	228
37	14	15	149	228
38	14	16	149	243
39	14	15	149	258
40	14	15	149	258
41	14	15	149	258
42	14	14	149	272

Comand Not Found
> 
