pwm値	ロリコン出力値	速度	20区間速度平均	20区間速度平均％表示		
3540	0	0	0.029850746	0.814 		
3560	0	0	0.029850746	0.814 		
3580	0	0	0.034825871	0.950 		
3600	0	0	0.034825871	0.950 		
3620	0	0	0.034825871	0.950 		
3640	0	0	0.039800995	1.085 		
3660	0	0	0.039800995	1.085 		
3680	0	0	0.044776119	1.221 		
3700	0	0	0.049751244	1.357 		
3720	0	0	0.049751244	1.357 		
3740	0	0	0.049751244	1.357 		
3760	0	0	0.049751244	1.357 		
3780	0	0	0.049751244	1.357 		
3800	0	0	0.049751244	1.357 		
3820	0	0	0.049751244	1.357 		
3840	0	0	0.049751244	1.357 		
3860	0	0	0.049751244	1.357 		
3880	0	0	0.049751244	1.357 		
3900	0	0	0.049751244	1.357 		
3920	0	0	0.049751244	1.357 		
3940	0	0	0.054726368	1.493 		
3960	0	0	0.054726368	1.493 		
3980	0	0	0.059701493	1.628 		
4000	0	0	0.059701493	1.628 		
4020	0	0	0.064676617	1.764 		
4040	0	0	0.064676617	1.764 		
4060	0	0	0.069651741	1.900 		
4080	0	0	0.074626866	2.035 		
4100	0	0	0.084577114	2.307 		
4120	0	0	0.089552239	2.442 		
4140	0	0	0.094527363	2.578 		
4160	0	0	0.094527363	2.578 		
4180	0	0	0.099502488	2.714 		
4200	0	0	0.099502488	2.714 		
4220	0	0	0.104477612	2.849 		
4240	0	0	0.104477612	2.849 		
4260	0	0	0.109452736	2.985 		
4280	0	0	0.114427861	3.121 		
4300	0	0	0.114427861	3.121 		
4320	0	0	0.119402985	3.256 		
4340	0	0	0.124378109	3.392 		
4360	0	0	0.124378109	3.392 		
4380	0	0	0.129353234	3.528 		
4400	0	0	0.129353234	3.528 		
4420	0	0	0.134328358	3.664 		
4440	0	0	0.134328358	3.664 		
4460	0	0	0.139303483	3.799 		
4480	0	0	0.139303483	3.799 		
4500	0	0	0.144278607	3.935 		
4520	0	0	0.149253731	4.071 		
4540	0	0	0.149253731	4.071 		
4560	0	0	0.154228856	4.206 		
4580	0	0	0.154228856	4.206 		
4600	0	0	0.15920398	4.342 		
4620	0	0	0.164179104	4.478 		
4640	0	0	0.164179104	4.478 		
4660	0	0	0.169154229	4.613 		
4680	0	0	0.174129353	4.749 		
4700	0	0	0.174129353	4.749 		
4720	0	0	0.179104478	4.885 		
4740	0	1	0.184079602	5.020 		
4760	1	0	0.179104478	4.885 		
4780	1	0	0.184079602	5.020 		
4800	1	0	0.189054726	5.156 		
4820	1	0	0.189054726	5.156 		
4840	1	0	0.194029851	5.292 		
4860	1	0	0.199004975	5.427 		
4880	1	0	0.2039801	5.563 		
4900	1	0	0.208955224	5.699 		
4920	1	0	0.208955224	5.699 		
4940	1	0	0.213930348	5.834 		
4960	1	0	0.218905473	5.970 		
4980	1	0	0.223880597	6.106 		
5000	1	0	0.223880597	6.106 		
5020	1	0	0.228855721	6.242 		
5040	1	0	0.223880597	6.106 		
5060	1	0	0.228855721	6.242 		
5080	1	0	0.233830846	6.377 		
5100	1	0	0.23880597	6.513 		
5120	1	0	0.243781095	6.649 		
5140	1	0	0.248756219	6.784 		
5160	1	0	0.253731343	6.920 		
5180	1	0	0.258706468	7.056 		
5200	1	0	0.263681592	7.191 		
5220	1	0	0.268656716	7.327 		
5240	1	0	0.268656716	7.327 		
5260	1	0	0.263681592	7.191 		
5280	1	0	0.268656716	7.327 		
5300	1	0	0.273631841	7.463 		
5320	1	0	0.278606965	7.598 		
5340	1	0	0.28358209	7.734 		
5360	1	0	0.288557214	7.870 		
5380	1	0	0.293532338	8.005 		
5400	1	0	0.298507463	8.141 		
5420	1	0	0.303482587	8.277 		
5440	1	0	0.308457711	8.412 		
5460	1	0	0.313432836	8.548 		
5480	1	0	0.313432836	8.548 		
5500	1	0	0.308457711	8.412 		
5520	1	0	0.313432836	8.548 		
5540	1	0	0.31840796	8.684 		
5560	1	0	0.323383085	8.820 		
5580	1	0	0.328358209	8.955 		
5600	1	0	0.333333333	9.091 		
5620	1	0	0.338308458	9.227 		
5640	1	0	0.343283582	9.362 		
5660	1	0	0.348258706	9.498 		
5680	1	0	0.353233831	9.634 		
5700	1	0	0.358208955	9.769 		
5720	1	0	0.36318408	9.905 		
5740	1	0	0.368159204	10.041 		
5760	1	0	0.373134328	10.176 		
5780	1	0	0.378109453	10.312 		
5800	1	0	0.383084577	10.448 		
5820	1	0	0.388059701	10.583 		
5840	1	0	0.393034826	10.719 		
5860	1	0	0.39800995	10.855 		
5880	1	0	0.39800995	10.855 		
5900	1	0	0.402985075	10.991 		
5920	1	0	0.407960199	11.126 		
5940	1	0	0.412935323	11.262 		
5960	1	0	0.417910448	11.398 		
5980	1	0	0.422885572	11.533 		
6000	1	0	0.427860697	11.669 		
6020	1	0	0.427860697	11.669 		
6040	1	0	0.432835821	11.805 		
6060	1	0	0.437810945	11.940 		
6080	1	0	0.44278607	12.076 		
6100	1	0	0.447761194	12.212 		
6120	1	0	0.447761194	12.212 		
6140	1	0	0.452736318	12.347 		
6160	1	0	0.457711443	12.483 		
6180	1	0	0.462686567	12.619 		
6200	1	0	0.467661692	12.754 		
6220	1	0	0.467661692	12.754 		
6240	1	0	0.472636816	12.890 		
6260	1	0	0.47761194	13.026 		
6280	1	0	0.482587065	13.161 		
6300	1	0	0.492537313	13.433 		
6320	1	0	0.497512438	13.569 		
6340	1	0	0.507462687	13.840 		
6360	1	0	0.507462687	13.840 		
6380	1	0	0.507462687	13.840 		
6400	1	0	0.512437811	13.976 		
6420	1	0	0.52238806	14.247 		
6440	1	0	0.532338308	14.518 		
6460	1	0	0.532338308	14.518 		
6480	1	0	0.537313433	14.654 		
6500	1	0	0.537313433	14.654 		
6520	1	0	0.542288557	14.790 		
6540	1	0	0.542288557	14.790 		
6560	1	0	0.547263682	14.925 		
6580	1	0	0.55721393	15.197 		
6600	1	0	0.562189055	15.332 		
6620	1	0	0.567164179	15.468 		
6640	1	0	0.567164179	15.468 		
6660	1	0	0.572139303	15.604 		
6680	1	0	0.582089552	15.875 		
6700	1	0	0.587064677	16.011 		
6720	1	0	0.592039801	16.147 		
6740	1	0	0.597014925	16.282 		
6760	1	0	0.597014925	16.282 		
6780	1	0	0.60199005	16.418 		
6800	1	0	0.606965174	16.554 		
6820	1	0	0.606965174	16.554 		
6840	1	0	0.616915423	16.825 		
6860	1	0	0.621890547	16.961 		
6880	1	0	0.631840796	17.232 		
6900	1	0	0.63681592	17.368 		
6920	1	0	0.646766169	17.639 		
6940	1	0	0.651741294	17.775 		
6960	1	0	0.656716418	17.910 		
6980	1	0	0.656716418	17.910 		
7000	1	0	0.661691542	18.046 		
7020	1	0	0.661691542	18.046 		
7040	1	1	0.671641791	18.318 		
7060	2	0	0.671641791	18.318 		
7080	2	0	0.68159204	18.589 		
7100	2	1	0.686567164	18.725 		
7120	3	0	0.691542289	18.860 		
7140	3	0	0.696517413	18.996 		
7160	3	0	0.706467662	19.267 		
7180	3	0	0.711442786	19.403 		
7200	3	0	0.706467662	19.267 		
7220	3	1	0.706467662	19.267 		
7240	4	0	0.701492537	19.132 		
7260	4	0	0.706467662	19.267 		
7280	4	0	0.706467662	19.267 		
7300	4	0	0.71641791	19.539 		
7320	4	1	0.721393035	19.674 		
7340	5	0	0.71641791	19.539 		
7360	5	0	0.726368159	19.810 		
7380	5	0	0.736318408	20.081 		
7400	5	0	0.746268657	20.353 		
7420	5	0	0.751243781	20.488 		
7440	5	0	0.751243781	20.488 		
